,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),Î²-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
99,198,DR017,Daun bangun-bangun. segar,92.5,27,1.3,0.6,4.0,1.0,1.6,279.0,40.0,13.6,4.0,144.0,,,,1.489,13.288,0.16,0.1,,5.0,66.0,Tunggal,Sayur,KZGPI-1990
100,199,DR018,Daun bawang merah. segar,89.1,41,2.0,0.3,7.8,2.1,0.8,60.0,40.0,2.3,30.0,90.0,0.1,0.3,,218.0,,0.1,0.1,0.2,11.0,67.0,Tunggal,Sayur,KZGMI-2001
101,203,DR022,Daun gandaria. segar,81.0,63,3.1,0.3,14.0,2.1,1.6,40.0,45.0,4.7,3.0,127.7,,,,503.0,600.0,0.04,0.04,0.2,61.0,65.0,Tunggal,Sayur,DABM-1964
102,204,DR023,Daun gedi besar. segar,84.0,58,2.9,0.7,10.0,3.3,2.4,440.0,100.0,1.9,30.0,40.0,0.2,2.1,,596.0,,0.4,0.5,2.8,11.0,65.0,Tunggal,Sayur,KZGMI-2001
103,205,DR024,Daun gedi kecil. segar,83.7,61,3.2,0.7,10.4,3.4,2.0,420.0,70.0,1.7,20.0,50.0,0.1,1.4,,607.0,,0.4,0.3,2.9,11.0,65.0,Tunggal,Sayur,KZGMI-2001
104,206,DR025,Daun gelang. segar,90.3,30,1.3,0.7,5.8,1.3,1.9,350.0,210.0,11.9,5.0,333.3,0.31,1.2,,4.701,1.954,0.01,0.14,0.7,1.0,52.0,Tunggal,Sayur,KZGPI-1990
105,209,DR028,Daun jambu mete muda. segar,78.0,78,4.6,0.5,16.2,3.0,0.7,33.0,64.0,8.9,14.0,670.5,,,,4.484,2.689,0.02,1.12,1.1,65.0,65.0,Tunggal,Sayur,DABM-1964
106,211,DR030,Daun jawaw seluang. segar,77.2,93,5.0,1.3,15.3,3.9,1.2,146.0,103.0,5.3,2.0,434.0,0.5,1.5,,,,0.1,0.7,,9.0,,Tunggal,Sayur,KZGMI-2001
107,213,DR032,Daun kacang ma. segar,89.1,36,2.9,0.6,6.8,1.8,0.6,64.0,220.0,2.2,7.0,485.3,0.2,0.3,,2.893,4.377,0.04,0.18,1.2,4.0,33.0,Tunggal,Sayur,KZGPI-1990
108,214,DP004,Daun kacang panjang. kukus,87.2,40,3.7,0.3,8.0,1.8,0.8,111.0,66.0,3.7,6.0,419.5,0.2,0.3,,2.645,5.781,0.15,0.2,0.9,11.0,100.0,Olahan,Sayur,KZGPI-1990
109,215,DR033,Daun kacang panjang. segar,89.7,30,3.1,0.3,5.8,1.7,1.1,200.0,66.0,4.5,7.0,458.6,0.2,0.3,,2.734,4.592,0.33,0.2,1.1,30.0,65.0,Tunggal,Sayur,KZGPI-1990
110,216,DR034,Daun kasbi/singkong karet. segar,80.3,92,4.0,3.6,10.9,5.8,1.2,140.0,70.0,1.6,70.0,90.0,0.3,1.1,,4.046,,0.1,0.2,0.1,74.0,87.0,Tunggal,Sayur,KZGMI-2001
111,217,DP005,Daun katuk. rebus,83.3,53,5.3,0.9,9.1,1.2,1.4,185.0,102.0,3.1,16.0,291.3,0.3,1.3,,11.131,9.0,,0.3,2.2,66.0,100.0,Olahan,Sayur,KZGPI-1990
112,218,DR035,Daun katuk. segar,81.0,59,6.4,1.0,9.9,1.5,1.7,233.0,98.0,3.5,21.0,478.8,0.3,1.3,,9.152,10.02,,0.31,2.3,164.0,40.0,Tunggal,Sayur,KZGPI-1990
113,220,DR037,Daun kedondong. segar,81.0,59,3.5,0.3,13.4,10.7,1.8,540.0,82.0,6.2,12.0,579.0,,,,1.624,2.9,0.06,0.2,1.5,29.0,65.0,Tunggal,Sayur,DABM-1964
114,221,DP006,Daun kelor. rebus,80.3,61,6.1,0.9,10.0,0.9,2.6,255.0,36.0,2.1,45.0,181.2,0.1,0.6,,3.972,6.071,0.1,0.1,4.0,13.0,100.0,Olahan,Sayur,KZGPI-1990
115,222,DR038,Daun kelor. segar,75.5,92,5.1,1.6,14.3,8.2,3.5,1.077,76.0,6.0,61.0,298.0,0.1,0.6,,3.266,,0.3,0.1,4.2,22.0,65.0,Tunggal,Sayur,KZGMI-2001
116,223,DR039,Daun kemangi. segar,85.0,43,5.5,0.3,7.5,8.4,1.7,35.0,106.0,1.0,10.0,457.1,,,,1.282,1.017,0.06,0.1,1.2,30.0,65.0,Tunggal,Sayur,DABM-1964
117,224,DR040,Daun kenikir. segar,87.6,45,3.7,0.5,6.6,5.8,1.7,328.0,65.0,2.7,431.0,431.0,0.1,0.6,,30.0,12.0,0.5,0.3,4.5,0.2,36.0,Tunggal,Sayur,BKP
118,225,DR041,Daun kesum. segar,84.8,48,4.5,0.8,9.1,1.6,0.8,125.0,142.0,2.6,11.0,174.7,0.4,1.2,,4.216,8.715,0.01,0.1,1.6,4.0,53.0,Tunggal,Sayur,KZGPI-1990
119,226,DR042,Daun kol sawi. segar,93.1,22,2.1,0.5,3.6,0.9,0.7,200.0,92.0,3.2,19.0,386.2,0.1,0.2,,1.806,2.177,0.03,0.2,0.6,3.0,87.0,Tunggal,Sayur,KZGPI-1990
120,228,DR044,Daun kubis. segar,86.2,51,2.5,1.1,8.0,3.4,2.2,100.0,50.0,3.4,50.0,100.0,0.9,0.6,,3.612,,0.4,0.1,0.2,16.0,75.0,Tunggal,Sayur,KZGMI-2001
121,229,DR045,Daun kumak. segar,95.2,14,1.3,0.3,2.3,0.9,0.9,90.0,59.0,2.7,2.0,36.5,0.1,0.3,,1.274,2.961,0.01,,0.5,3.0,78.0,Tunggal,Sayur,KZGPI-1990
122,230,DR046,Daun labu siam. segar,89.7,34,4.0,0.4,4.7,3.5,1.2,58.0,70.0,2.5,16.0,630.7,0.2,0.3,,4.773,2.025,0.08,0.4,1.7,16.0,100.0,Tunggal,Sayur,DABM-1964
123,231,DR047,Daun labu waluh/kuning. segar,89.7,34,3.6,0.6,4.5,2.9,1.6,138.0,99.0,3.7,16.0,630.7,0.2,0.3,,1.258,2.75,0.14,0.2,1.3,36.0,70.0,Tunggal,Sayur,DABM-1964
124,232,DR048,Daun lamtoro. segar,74.0,87,8.3,1.8,14.4,3.3,1.5,725.0,174.0,3.9,10.0,197.7,0.5,1.4,,6.9,13.04,,0.1,2.3,32.0,40.0,Tunggal,Sayur,KZGPI-1990
125,233,DR049,Daun leilem. segar,79.4,76,2.8,0.2,15.8,3.1,1.8,296.0,22.0,3.4,6.0,46.0,0.5,1.1,,753.0,,0.3,0.1,2.5,22.0,90.0,Tunggal,Sayur,KZGMI-2001
126,235,DR051,Daun lobak. segar,90.0,30,2.3,0.4,5.8,3.2,1.4,140.0,33.0,3.7,16.0,747.4,0.2,0.2,,5.039,1.0,0.07,1.1,6.5,109.0,70.0,Tunggal,Sayur,DKBM-1964
127,236,DR052,Daun lompong talas. segar,87.2,44,3.0,0.8,7.4,3.3,1.6,76.0,59.0,1.0,3.0,578.4,0.2,0.4,,2.584,2.0,0.08,0.4,1.4,31.0,75.0,Tunggal,Sayur,DABM-1964
128,239,DR055,Daun melinjo. segar,70.8,104,5.0,1.3,21.3,10.3,1.6,219.0,82.0,4.2,12.0,604.8,0.4,0.6,,823.0,10.0,0.09,,,182.0,88.0,Tunggal,Sayur,DABM-1964
129,242,DR057,Daun ndusuk. segar,56.0,166,1.7,0.5,38.8,10.7,3.0,40.0,20.0,1.8,40.0,310.0,0.2,0.7,,14.457,,0.4,0.1,0.1,30.0,,Tunggal,Sayur,KZGMI-2001
130,243,DR058,Daun oyong. segar,93.0,22,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,1.0,0.08,0.1,0.8,150.0,65.0,Tunggal,Sayur,DABM-1964
131,244,DR060,Daun pakis longgiho. segar,89.5,54,2.2,3.6,3.1,2.1,1.6,40.0,80.0,0.7,70.0,500.0,0.4,0.1,,168.0,,0.4,0.3,0.2,8.0,70.0,Tunggal,Sayur,KZGMI-2001
132,245,DR061,Daun pakis wambateu. segar,86.9,53,3.4,1.2,7.2,4.8,1.3,30.0,100.0,0.3,20.0,200.0,0.2,0.3,,191.0,,0.7,0.2,0.3,6.0,70.0,Tunggal,Sayur,KZGMI-2001
133,246,DR059,Daun pakis. segar,86.8,39,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,,1.625,3.292,0.02,0.1,0.5,3.0,70.0,Tunggal,Sayur,KZGPI-1990
134,247,DR062,Daun paku. segar,88.8,29,3.4,0.1,6.5,4.3,1.2,13.0,88.0,1.3,19.0,434.0,0.5,0.7,,18.0,,0.2,0.1,11.7,10.0,70.0,Tunggal,Sayur,KZGMI-2001
135,248,DR063,Daun pangi.segar,76.1,104,3.9,0.6,17.9,8.3,1.5,256.0,22.0,1.8,4.0,266.0,1.7,0.5,,55.0,,0.4,0.1,0.1,23.0,90.0,Tunggal,Sayur,KZGMI-2001
136,249,DR064,Daun pare. segar,87.3,49,2.7,1.0,8.4,3.0,1.6,217.0,70.0,3.3,7.0,498.0,0.4,1.2,,1.8,,0.4,0.2,0.6,7.0,,Tunggal,Sayur,KZGMI-2001
137,250,DR065,Daun pepaya. segar,75.4,87,8.0,2.0,11.9,1.5,2.7,353.0,63.0,0.8,4.0,926.6,0.2,1.5,,5.409,18.25,0.15,0.5,1.9,140.0,71.0,Tunggal,Sayur,DABM-1964
138,252,NR017,Daun salam. bubuk,13.1,301,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180.0,619.0,1.31,0.7,,5.4,,0.1,0.32,5.0,,100.0,Tunggal,Bumbu,FCTEA-1972
139,253,DR067,Daun selasih. segar,83.1,62,4.0,0.5,10.5,5.3,1.9,122.0,16.0,13.9,3.0,259.0,0.4,0.7,,4.112,,0.5,0.1,0.2,24.0,53.0,Tunggal,Sayur,KZGMI-2001
140,254,DR068,Daun semanggi. segar,84.7,45,4.4,0.5,8.5,1.9,1.9,98.0,90.0,7.0,64.0,520.7,0.5,0.3,,64.0,3.365,0.01,0.5,0.7,6.0,90.0,Tunggal,Sayur,KZGPI-1990
141,257,DR072,Daun singkong ambon. segar,58.0,144,12.7,1.2,25.2,10.2,2.9,165.0,54.0,3.9,44.0,62.2,0.2,5.4,,8.627,13.0,0.21,1.0,4.2,220.0,87.0,Tunggal,Sayur,DABM-1964
142,258,DR073,Daun singkong ampenan. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,352.0,123.0,2.7,49.0,570.0,0.2,1.3,,7.917,,0.5,0.1,1.6,103.0,87.0,Tunggal,Sayur,KZGMI-2001
143,259,DR074,Daun singkong kopang. segar,81.1,74,6.3,0.7,10.7,4.6,1.2,142.0,115.0,1.7,32.0,382.0,0.2,1.5,,3.882,,0.5,0.5,1.9,211.0,87.0,Tunggal,Sayur,KZGMI-2001
144,260,DP008,Daun singkong. rebus,90.5,31,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3.897,4.15,0.02,0.1,1.7,34.0,100.0,Olahan,Sayur,KZGPI-1990
145,261,DR071,Daun singkong. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,,3.204,7.052,0.04,0.1,1.8,103.0,87.0,Tunggal,Sayur,KZGPI-1990
146,262,DR075,Daun sintrong. segar,88.5,36,2.6,0.9,6.1,1.7,1.9,398.0,95.0,9.3,64.0,444.4,0.1,0.4,,10.178,8.868,0.03,0.2,0.9,3.0,94.0,Tunggal,Sayur,KZGPI-1990
147,263,DP009,Daun talas. rebus,91.6,27,1.3,0.2,5.9,1.6,1.0,119.0,41.0,1.4,3.0,519.4,0.5,0.5,,4.641,2.682,,0.6,1.9,7.0,100.0,Olahan,Sayur,KZGPI-1990
148,264,DR076,Daun talas. segar,81.1,59,3.0,0.4,13.5,3.0,2.0,236.0,50.0,2.4,4.0,854.1,0.4,0.5,,3.816,5.74,0.07,0.6,2.0,24.0,80.0,Tunggal,Sayur,KZGPI-1990
149,265,DR077,Daun tespong. segar,81.0,70,2.9,0.3,13.9,2.3,1.9,155.0,65.0,2.5,72.0,,0.15,0.9,,171.0,2.5,0.05,0.7,1.4,21.0,60.0,Tunggal,Sayur,DABM-1964
150,266,DR078,Daun ubi kuning. segar,83.5,62,3.7,0.3,11.1,6.4,1.4,170.0,40.0,0.6,10.0,,0.2,0.5,,3.564,,0.3,0.3,1.2,4.0,75.0,Tunggal,Sayur,KZGMI-2001
151,267,DP010,Daun ubi merah. kukus,82.5,56,3.1,0.3,13.0,1.5,1.1,78.0,52.0,4.3,28.0,472.8,0.1,0.4,,5.277,5.397,,0.2,1.1,14.0,100.0,Olahan,Sayur,KZGPI-1990
152,268,DR079,Daun ubi merah. segar,84.4,48,3.0,0.3,10.8,1.4,1.5,80.0,81.0,6.4,33.0,517.3,,0.4,,5.453,4.697,0.1,0.2,1.2,27.0,75.0,Tunggal,Sayur,KZGPI-1990
153,269,DR080,Daun ubi putih. segar,87.5,46,2.8,0.2,8.2,4.8,1.3,120.0,50.0,0.8,10.0,,0.2,0.5,,103.0,,0.3,0.3,0.9,8.0,75.0,Tunggal,Sayur,KZGMI-2001
154,270,DR081,Daun ubi tinta. segar,85.1,55,1.7,0.1,11.9,7.6,1.2,120.0,40.0,0.6,10.0,,0.2,0.5,,516.0,,0.2,,,7.0,75.0,Tunggal,Sayur,KZGMI-2001
155,273,FP045,Djibokum. masakan,43.4,248,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,1.92,0.75,,,,100.0,Olahan,Daging,KZGMS-1993
156,275,CP023,Dodol banjarmasin,17.3,368,2.6,8.6,70.0,0.5,1.5,51.0,180.0,3.3,48.0,96.0,0.4,2.6,,,,0.04,0.07,2.3,,100.0,Olahan,Kacang,KZGMI-2001
157,276,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41.0,144.0,2.6,38.0,76.0,0.3,2.1,,,,0.03,0.06,1.8,,100.0,Olahan,Serealia,KZGMI-2001
158,278,AP046,Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41.0,142.0,2.4,35.0,72.0,0.3,2.1,,,,0.04,0.06,2.1,,100.0,Olahan,Serealia,KZGMI-2001
159,242,DR057,Daun ndusuk. segar,56.0,166,1.7,0.5,38.8,10.7,3.0,40.0,20.0,1.8,40.0,310.0,0.2,0.7,,14.457,,0.4,0.1,0.1,30.0,,Tunggal,Sayur,KZGMI-2001
160,243,DR058,Daun oyong. segar,93.0,22,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,1.0,0.08,0.1,0.8,150.0,65.0,Tunggal,Sayur,DABM-1964
161,244,DR060,Daun pakis longgiho. segar,89.5,54,2.2,3.6,3.1,2.1,1.6,40.0,80.0,0.7,70.0,500.0,0.4,0.1,,168.0,,0.4,0.3,0.2,8.0,70.0,Tunggal,Sayur,KZGMI-2001
162,245,DR061,Daun pakis wambateu. segar,86.9,53,3.4,1.2,7.2,4.8,1.3,30.0,100.0,0.3,20.0,200.0,0.2,0.3,,191.0,,0.7,0.2,0.3,6.0,70.0,Tunggal,Sayur,KZGMI-2001
163,246,DR059,Daun pakis. segar,86.8,39,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,,1.625,3.292,0.02,0.1,0.5,3.0,70.0,Tunggal,Sayur,KZGPI-1990
164,247,DR062,Daun paku. segar,88.8,29,3.4,0.1,6.5,4.3,1.2,13.0,88.0,1.3,19.0,434.0,0.5,0.7,,18.0,,0.2,0.1,11.7,10.0,70.0,Tunggal,Sayur,KZGMI-2001
165,248,DR063,Daun pangi.segar,76.1,104,3.9,0.6,17.9,8.3,1.5,256.0,22.0,1.8,4.0,266.0,1.7,0.5,,55.0,,0.4,0.1,0.1,23.0,90.0,Tunggal,Sayur,KZGMI-2001
166,249,DR064,Daun pare. segar,87.3,49,2.7,1.0,8.4,3.0,1.6,217.0,70.0,3.3,7.0,498.0,0.4,1.2,,1.8,,0.4,0.2,0.6,7.0,,Tunggal,Sayur,KZGMI-2001
167,250,DR065,Daun pepaya. segar,75.4,87,8.0,2.0,11.9,1.5,2.7,353.0,63.0,0.8,4.0,926.6,0.2,1.5,,5.409,18.25,0.15,0.5,1.9,140.0,71.0,Tunggal,Sayur,DABM-1964
168,252,NR017,Daun salam. bubuk,13.1,301,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180.0,619.0,1.31,0.7,,5.4,,0.1,0.32,5.0,,100.0,Tunggal,Bumbu,FCTEA-1972
169,253,DR067,Daun selasih. segar,83.1,62,4.0,0.5,10.5,5.3,1.9,122.0,16.0,13.9,3.0,259.0,0.4,0.7,,4.112,,0.5,0.1,0.2,24.0,53.0,Tunggal,Sayur,KZGMI-2001
170,254,DR068,Daun semanggi. segar,84.7,45,4.4,0.5,8.5,1.9,1.9,98.0,90.0,7.0,64.0,520.7,0.5,0.3,,64.0,3.365,0.01,0.5,0.7,6.0,90.0,Tunggal,Sayur,KZGPI-1990
171,257,DR072,Daun singkong ambon. segar,58.0,144,12.7,1.2,25.2,10.2,2.9,165.0,54.0,3.9,44.0,62.2,0.2,5.4,,8.627,13.0,0.21,1.0,4.2,220.0,87.0,Tunggal,Sayur,DABM-1964
172,258,DR073,Daun singkong ampenan. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,352.0,123.0,2.7,49.0,570.0,0.2,1.3,,7.917,,0.5,0.1,1.6,103.0,87.0,Tunggal,Sayur,KZGMI-2001
173,259,DR074,Daun singkong kopang. segar,81.1,74,6.3,0.7,10.7,4.6,1.2,142.0,115.0,1.7,32.0,382.0,0.2,1.5,,3.882,,0.5,0.5,1.9,211.0,87.0,Tunggal,Sayur,KZGMI-2001
174,260,DP008,Daun singkong. rebus,90.5,31,3.7,0.6,4.8,1.6,0.4,160.0,50.0,2.6,13.0,14.0,0.1,2.0,,3.897,4.15,0.02,0.1,1.7,34.0,100.0,Olahan,Sayur,KZGPI-1990
175,261,DR071,Daun singkong. segar,84.4,50,6.2,1.1,7.1,2.4,1.2,166.0,99.0,1.3,17.0,23.1,0.1,2.0,,3.204,7.052,0.04,0.1,1.8,103.0,87.0,Tunggal,Sayur,KZGPI-1990
176,262,DR075,Daun sintrong. segar,88.5,36,2.6,0.9,6.1,1.7,1.9,398.0,95.0,9.3,64.0,444.4,0.1,0.4,,10.178,8.868,0.03,0.2,0.9,3.0,94.0,Tunggal,Sayur,KZGPI-1990
177,263,DP009,Daun talas. rebus,91.6,27,1.3,0.2,5.9,1.6,1.0,119.0,41.0,1.4,3.0,519.4,0.5,0.5,,4.641,2.682,,0.6,1.9,7.0,100.0,Olahan,Sayur,KZGPI-1990
178,264,DR076,Daun talas. segar,81.1,59,3.0,0.4,13.5,3.0,2.0,236.0,50.0,2.4,4.0,854.1,0.4,0.5,,3.816,5.74,0.07,0.6,2.0,24.0,80.0,Tunggal,Sayur,KZGPI-1990
179,265,DR077,Daun tespong. segar,81.0,70,2.9,0.3,13.9,2.3,1.9,155.0,65.0,2.5,72.0,,0.15,0.9,,171.0,2.5,0.05,0.7,1.4,21.0,60.0,Tunggal,Sayur,DABM-1964
180,266,DR078,Daun ubi kuning. segar,83.5,62,3.7,0.3,11.1,6.4,1.4,170.0,40.0,0.6,10.0,,0.2,0.5,,3.564,,0.3,0.3,1.2,4.0,75.0,Tunggal,Sayur,KZGMI-2001
181,267,DP010,Daun ubi merah. kukus,82.5,56,3.1,0.3,13.0,1.5,1.1,78.0,52.0,4.3,28.0,472.8,0.1,0.4,,5.277,5.397,,0.2,1.1,14.0,100.0,Olahan,Sayur,KZGPI-1990
182,268,DR079,Daun ubi merah. segar,84.4,48,3.0,0.3,10.8,1.4,1.5,80.0,81.0,6.4,33.0,517.3,,0.4,,5.453,4.697,0.1,0.2,1.2,27.0,75.0,Tunggal,Sayur,KZGPI-1990
183,269,DR080,Daun ubi putih. segar,87.5,46,2.8,0.2,8.2,4.8,1.3,120.0,50.0,0.8,10.0,,0.2,0.5,,103.0,,0.3,0.3,0.9,8.0,75.0,Tunggal,Sayur,KZGMI-2001
184,270,DR081,Daun ubi tinta. segar,85.1,55,1.7,0.1,11.9,7.6,1.2,120.0,40.0,0.6,10.0,,0.2,0.5,,516.0,,0.2,,,7.0,75.0,Tunggal,Sayur,KZGMI-2001
185,273,FP045,Djibokum. masakan,43.4,248,10.0,2.3,40.9,0.1,3.4,116.0,110.0,2.8,401.0,,,,52.0,,1.92,0.75,,,,100.0,Olahan,Daging,KZGMS-1993
186,275,CP023,Dodol banjarmasin,17.3,368,2.6,8.6,70.0,0.5,1.5,51.0,180.0,3.3,48.0,96.0,0.4,2.6,,,,0.04,0.07,2.3,,100.0,Olahan,Kacang,KZGMI-2001
187,276,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41.0,144.0,2.6,38.0,76.0,0.3,2.1,,,,0.03,0.06,1.8,,100.0,Olahan,Serealia,KZGMI-2001
188,278,AP046,Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41.0,142.0,2.4,35.0,72.0,0.3,2.1,,,,0.04,0.06,2.1,,100.0,Olahan,Serealia,KZGMI-2001
189,242,DR057,Daun ndusuk. segar,56.0,166,1.7,0.5,38.8,10.7,3.0,40.0,20.0,1.8,40.0,310.0,0.2,0.7,,14.457,,0.4,0.1,0.1,30.0,,Tunggal,Sayur,KZGMI-2001
190,243,DR058,Daun oyong. segar,93.0,22,1.0,0.1,5.3,2.0,0.6,21.0,44.0,2.0,40.0,295.5,0.1,0.2,,855.0,1.0,0.08,0.1,0.8,150.0,65.0,Tunggal,Sayur,DABM-1964
191,244,DR060,Daun pakis longgiho. segar,89.5,54,2.2,3.6,3.1,2.1,1.6,40.0,80.0,0.7,70.0,500.0,0.4,0.1,,168.0,,0.4,0.3,0.2,8.0,70.0,Tunggal,Sayur,KZGMI-2001
192,245,DR061,Daun pakis wambateu. segar,86.9,53,3.4,1.2,7.2,4.8,1.3,30.0,100.0,0.3,20.0,200.0,0.2,0.3,,191.0,,0.7,0.2,0.3,6.0,70.0,Tunggal,Sayur,KZGMI-2001
193,246,DR059,Daun pakis. segar,86.8,39,4.5,0.4,6.9,2.0,1.4,136.0,159.0,2.3,20.0,201.9,0.2,0.3,,1.625,3.292,0.02,0.1,0.5,3.0,70.0,Tunggal,Sayur,KZGPI-1990
194,247,DR062,Daun paku. segar,88.8,29,3.4,0.1,6.5,4.3,1.2,13.0,88.0,1.3,19.0,434.0,0.5,0.7,,18.0,,0.2,0.1,11.7,10.0,70.0,Tunggal,Sayur,KZGMI-2001
