,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),Î²-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
293,661,DP039,Kotiu hinela tawang nggole,88.4,46,2.2,1.5,6.0,3.8,1.9,64.0,44.0,,316.0,103.0,1.6,0.8,,75.0,,0.3,,9.7,7.0,100.0,Olahan,Sayur,KZGMI-2001
294,666,DR118,Kucai muda (Lokio). segar,86.0,42,3.8,0.6,7.8,4.9,1.8,76.0,91.0,2.5,22.0,449.1,0.11,0.5,,2.744,500.0,0.11,0.2,1.8,59.0,100.0,Tunggal,Sayur,DABM-1964
295,667,DR117,Kucai. segar,86.3,45,2.2,0.3,10.3,4.8,0.9,52.0,50.0,1.1,21.0,439.5,0.11,0.5,,2.685,40.0,0.11,0.2,1.8,17.0,52.0,Tunggal,Sayur,DABM-1964
296,680,BP047,Kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48.0,68.0,1.5,3.0,305.0,,,,,,0.1,0.1,0.8,,100.0,Olahan,Umbi,KZGMI-2001
297,641,DR109,Ketimun. segar,97.9,8,0.2,0.2,1.4,0.3,0.3,29.0,95.0,0.8,2.0,57.1,0.02,0.1,,18.0,314.0,0.01,0.02,0.1,1.0,55.0,Tunggal,Sayur,KZGPI-1990
298,643,NR020,Ketumbar. kering,11.2,418,14.1,16.1,54.2,12.3,4.4,630.0,370.0,17.9,91.0,,0.95,4.6,,75.0,1.57,0.2,0.35,1.8,,100.0,Tunggal,Bumbu,DABM-1964
299,648,ER049,Kokosan. segar,85.0,86,1.6,0.2,13.0,1.4,0.2,22.0,38.0,1.3,2.0,118.3,0.08,0.2,,,20.0,0.04,0.04,1.5,3.0,64.0,Tunggal,Buah,DABM-1964
300,649,DR114,Kol merah. kol putih,92.4,29,1.4,0.2,5.3,1.9,0.9,46.0,31.0,0.5,28.0,236.8,0.29,0.3,,46.0,80.0,0.06,0.07,0.3,50.0,75.0,Tunggal,Sayur,DABM-1964
301,650,CR039,Komak polong. segar,74.3,99,3.3,0.1,21.2,10.3,1.1,50.0,99.0,13.1,15.0,567.0,0.2,0.6,,5.0,,0.13,0.03,0.2,,100.0,Tunggal,Kacang,KZGMI-2001
302,651,DR112,Komak. segar,74.3,99,3.3,0.1,21.2,10.3,1.1,50.0,99.0,13.1,15.0,567.0,0.2,0.6,,5.0,,0.2,0.19,0.1,,80.0,Tunggal,Sayur,KZGMI-2001
303,653,CR040,Koro andong. kering,10.8,356,20.5,4.1,61.6,7.0,3.0,150.0,272.0,6.2,18.0,301.8,0.73,2.8,,,,0.29,0.02,1.4,1.0,100.0,Tunggal,Kacang,KZGPI-1990
304,654,CR041,Koro benguk. biji. kering,15.0,332,24.0,3.0,55.0,5.6,3.0,30.0,200.0,2.0,42.0,389.2,1.25,8.7,,,70.0,0.3,0.12,1.7,,95.0,Tunggal,Kacang,DABM-1964
305,655,CR042,Koro kerupuk. biji. segar,67.2,125,8.3,0.7,22.1,2.2,1.7,17.0,12.0,2.7,16.0,150.3,0.48,3.4,,,80.0,0.11,0.04,1.1,31.0,68.0,Tunggal,Kacang,DABM-1964
306,657,CR043,Koro loke. biji. segar,88.6,33,2.7,0.2,7.9,3.5,0.6,60.0,40.0,2.0,2.0,38.6,0.09,0.4,,,40.0,0.1,,0.2,,95.0,Tunggal,Kacang,DABM-1964
307,658,CR044,Koro roay. kering,13.0,344,12.5,2.1,69.4,7.5,3.0,70.0,103.0,4.4,18.0,294.3,0.72,2.7,,,28.0,0.11,0.21,1.4,1.0,100.0,Tunggal,Kacang,KZGPI-1990
308,659,CR045,Koro wedus. biji. kering,11.8,338,22.2,1.5,61.0,5.8,3.5,88.0,395.0,3.5,43.0,403.8,1.3,9.1,,,,0.62,0.12,1.8,,100.0,Tunggal,Kacang,DABM-1964
309,660,DR116,Koro wedus. polong,88.0,46,3.0,0.3,7.9,3.3,0.8,56.0,47.0,1.1,2.0,249.3,0.09,0.4,,66.0,870.0,0.09,0.09,0.5,17.0,70.0,Tunggal,Sayur,DABM-1964
310,661,DP039,Kotiu hinela tawang nggole,88.4,46,2.2,1.5,6.0,3.8,1.9,64.0,44.0,,316.0,103.0,1.6,0.8,,75.0,,0.3,,9.7,7.0,100.0,Olahan,Sayur,KZGMI-2001
311,666,DR118,Kucai muda (Lokio). segar,86.0,42,3.8,0.6,7.8,4.9,1.8,76.0,91.0,2.5,22.0,449.1,0.11,0.5,,2.744,500.0,0.11,0.2,1.8,59.0,100.0,Tunggal,Sayur,DABM-1964
312,667,DR117,Kucai. segar,86.3,45,2.2,0.3,10.3,4.8,0.9,52.0,50.0,1.1,21.0,439.5,0.11,0.5,,2.685,40.0,0.11,0.2,1.8,17.0,52.0,Tunggal,Sayur,DABM-1964
313,680,BP047,Kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48.0,68.0,1.5,3.0,305.0,,,,,,0.1,0.1,0.8,,100.0,Olahan,Umbi,KZGMI-2001
314,641,DR109,Ketimun. segar,97.9,8,0.2,0.2,1.4,0.3,0.3,29.0,95.0,0.8,2.0,57.1,0.02,0.1,,18.0,314.0,0.01,0.02,0.1,1.0,55.0,Tunggal,Sayur,KZGPI-1990
315,643,NR020,Ketumbar. kering,11.2,418,14.1,16.1,54.2,12.3,4.4,630.0,370.0,17.9,91.0,,0.95,4.6,,75.0,1.57,0.2,0.35,1.8,,100.0,Tunggal,Bumbu,DABM-1964
316,648,ER049,Kokosan. segar,85.0,86,1.6,0.2,13.0,1.4,0.2,22.0,38.0,1.3,2.0,118.3,0.08,0.2,,,20.0,0.04,0.04,1.5,3.0,64.0,Tunggal,Buah,DABM-1964
317,649,DR114,Kol merah. kol putih,92.4,29,1.4,0.2,5.3,1.9,0.9,46.0,31.0,0.5,28.0,236.8,0.29,0.3,,46.0,80.0,0.06,0.07,0.3,50.0,75.0,Tunggal,Sayur,DABM-1964
318,650,CR039,Komak polong. segar,74.3,99,3.3,0.1,21.2,10.3,1.1,50.0,99.0,13.1,15.0,567.0,0.2,0.6,,5.0,,0.13,0.03,0.2,,100.0,Tunggal,Kacang,KZGMI-2001
319,651,DR112,Komak. segar,74.3,99,3.3,0.1,21.2,10.3,1.1,50.0,99.0,13.1,15.0,567.0,0.2,0.6,,5.0,,0.2,0.19,0.1,,80.0,Tunggal,Sayur,KZGMI-2001
320,653,CR040,Koro andong. kering,10.8,356,20.5,4.1,61.6,7.0,3.0,150.0,272.0,6.2,18.0,301.8,0.73,2.8,,,,0.29,0.02,1.4,1.0,100.0,Tunggal,Kacang,KZGPI-1990
321,654,CR041,Koro benguk. biji. kering,15.0,332,24.0,3.0,55.0,5.6,3.0,30.0,200.0,2.0,42.0,389.2,1.25,8.7,,,70.0,0.3,0.12,1.7,,95.0,Tunggal,Kacang,DABM-1964
322,655,CR042,Koro kerupuk. biji. segar,67.2,125,8.3,0.7,22.1,2.2,1.7,17.0,12.0,2.7,16.0,150.3,0.48,3.4,,,80.0,0.11,0.04,1.1,31.0,68.0,Tunggal,Kacang,DABM-1964
323,657,CR043,Koro loke. biji. segar,88.6,33,2.7,0.2,7.9,3.5,0.6,60.0,40.0,2.0,2.0,38.6,0.09,0.4,,,40.0,0.1,,0.2,,95.0,Tunggal,Kacang,DABM-1964
324,658,CR044,Koro roay. kering,13.0,344,12.5,2.1,69.4,7.5,3.0,70.0,103.0,4.4,18.0,294.3,0.72,2.7,,,28.0,0.11,0.21,1.4,1.0,100.0,Tunggal,Kacang,KZGPI-1990
325,659,CR045,Koro wedus. biji. kering,11.8,338,22.2,1.5,61.0,5.8,3.5,88.0,395.0,3.5,43.0,403.8,1.3,9.1,,,,0.62,0.12,1.8,,100.0,Tunggal,Kacang,DABM-1964
326,660,DR116,Koro wedus. polong,88.0,46,3.0,0.3,7.9,3.3,0.8,56.0,47.0,1.1,2.0,249.3,0.09,0.4,,66.0,870.0,0.09,0.09,0.5,17.0,70.0,Tunggal,Sayur,DABM-1964
327,661,DP039,Kotiu hinela tawang nggole,88.4,46,2.2,1.5,6.0,3.8,1.9,64.0,44.0,,316.0,103.0,1.6,0.8,,75.0,,0.3,,9.7,7.0,100.0,Olahan,Sayur,KZGMI-2001
328,666,DR118,Kucai muda (Lokio). segar,86.0,42,3.8,0.6,7.8,4.9,1.8,76.0,91.0,2.5,22.0,449.1,0.11,0.5,,2.744,500.0,0.11,0.2,1.8,59.0,100.0,Tunggal,Sayur,DABM-1964
329,667,DR117,Kucai. segar,86.3,45,2.2,0.3,10.3,4.8,0.9,52.0,50.0,1.1,21.0,439.5,0.11,0.5,,2.685,40.0,0.11,0.2,1.8,17.0,52.0,Tunggal,Sayur,DABM-1964
330,680,BP047,Kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48.0,68.0,1.5,3.0,305.0,,,,,,0.1,0.1,0.8,,100.0,Olahan,Umbi,KZGMI-2001
331,804,BP053,Oyek,12.6,351,0.9,0.9,84.9,4.3,0.7,60.0,36.0,2.1,5.0,229.0,0.1,0.5,,,,0.02,0.02,0.5,0.2,100.0,Olahan,Umbi,BKP
332,806,DP043,Paku hinela wulelenggapaya,83.4,77,3.5,4.6,5.4,3.6,3.1,63.0,85.0,,469.0,37.0,0.3,0.7,,55.0,,0.8,0.1,0.2,4.0,100.0,Olahan,Sayur,KZGMI-2001
333,807,NR024,Pala. biji. kering,14.3,518,7.5,36.4,40.1,3.5,1.7,120.0,240.0,4.6,2.0,78.7,0.94,2.0,,7.0,,0.2,0.02,0.5,,95.0,Tunggal,Bumbu,DABM-1964
334,810,BP054,Papeda,84.8,61,0.2,0.1,14.9,0.5,0.1,3.0,1.0,0.2,4.0,20.0,0.1,0.1,,,,0.06,,,,100.0,Olahan,Umbi,KZGMI-2001
335,812,DP015,Paria putih. kukus,95.0,16,0.8,0.2,3.4,1.2,0.6,16.0,33.0,0.5,4.0,236.0,,0.7,,187.0,65.0,0.15,0.04,0.3,35.0,100.0,Olahan,Sayur,KZGPI-1990
336,813,DR131,Paria putih. segar,94.4,19,1.0,0.4,3.6,1.3,0.6,31.0,65.0,0.9,5.0,277.7,0.03,0.8,,197.0,80.0,0.18,0.04,0.4,58.0,80.0,Tunggal,Sayur,KZGPI-1990
337,815,DP044,Pelecing kangkung,83.8,75,2.5,2.8,10.0,5.4,0.9,36.0,3.0,2.1,408.0,381.0,0.1,0.4,,870.0,,0.7,,0.2,12.0,100.0,Olahan,Sayur,KZGMI-2001
338,826,DR132,Pepare ular. segar,95.1,19,0.6,0.1,3.9,1.0,0.3,20.0,10.0,0.4,130.0,30.0,0.1,0.1,,69.0,,0.1,0.1,0.1,9.0,97.0,Tunggal,Sayur,KZGMI-2001
339,827,DR133,Pepaya muda. segar,92.3,29,2.1,0.1,4.9,2.1,0.6,50.0,16.0,0.4,22.0,211.2,0.01,,,,50.0,0.02,0.03,0.3,19.0,65.0,Tunggal,Sayur,DABM-1964
340,828,ER073,Pepaya. segar,86.7,46,0.5,12.0,12.2,1.6,0.6,23.0,12.0,1.7,4.0,221.0,0.02,0.3,,1.038,365.0,0.04,0.06,0.4,78.0,75.0,Tunggal,Buah,DABM-1964
341,830,DR134,Petai. segar,77.2,92,5.4,1.1,15.2,2.0,1.1,14.0,170.0,1.6,55.0,221.0,0.2,0.8,,114.0,,0.8,0.1,6.1,34.0,36.0,Tunggal,Sayur,KZGMI-2001
342,834,NP008,Petis udang pasta,39.0,220,15.0,0.9,38.0,2.3,7.1,37.0,36.0,2.8,7.981,307.9,0.5,1.3,,,,0.01,0.13,1.7,,100.0,Olahan,Bumbu,DABM-1964
343,837,ER074,Pisang ambon. segar,72.9,108,1.0,0.8,24.3,1.9,1.0,20.0,30.0,0.2,10.0,,0.2,0.2,,37.0,,0.05,0.11,0.1,9.0,75.0,Tunggal,Buah,KZGMI-2001
344,838,ER075,Pisang angleng (pisang ampyang). segar,80.3,68,1.3,0.2,17.2,0.8,1.0,10.0,26.0,0.6,23.0,215.7,0.04,0.0,,9.0,76.0,0.08,0.05,2.5,6.0,75.0,Tunggal,Buah,DABM-1964
345,839,ER076,Pisang ayam. segar,71.2,120,1.1,0.2,26.8,4.1,0.7,20.0,61.0,0.4,6.0,392.0,0.1,0.3,,24.0,,0.1,0.02,1.0,26.0,75.0,Tunggal,Buah,KZGMI-2001
346,840,ER077,Pisang gapi. segar,66.3,127,2.1,0.3,31.1,11.7,1.0,,40.0,0.3,40.0,392.0,,0.3,,16.0,,0.18,0.02,0.3,13.0,75.0,Tunggal,Buah,KZGMI-2001
347,841,ER078,Pisang goroho. segar,69.4,115,1.9,0.2,27.9,4.6,1.0,,30.0,0.2,36.0,359.0,,0.3,,15.0,,0.15,0.02,1.1,10.0,75.0,Tunggal,Buah,KZGMI-2001
348,842,ER079,Pisang hijau. segar,68.9,117,2.0,0.3,28.9,0.4,1.1,,37.0,0.9,31.0,529.4,0.28,0.6,,48.0,,0.13,0.06,,13.0,72.0,Tunggal,Buah,KZGPI-1990
349,843,ER080,Pisang kayu. segar,74.4,100,1.4,0.5,23.6,2.6,0.6,15.0,,0.1,1.0,493.0,0.08,0.3,,3.0,,0.1,,0.6,11.0,75.0,Tunggal,Buah,KZGMI-2001
350,844,ER081,Pisang kepok. segar,71.9,109,0.8,0.5,26.3,5.7,1.0,10.0,30.0,0.5,10.0,300.0,0.1,0.2,,,,0.1,,0.1,9.0,75.0,Tunggal,Buah,KZGMI-2001
351,845,ER082,Pisang ketip. segar,63.4,145,1.1,0.3,34.5,6.6,0.7,5.0,54.0,0.1,4.0,726.0,0.15,0.5,,3.0,,0.13,0.02,0.8,95.0,75.0,Tunggal,Buah,KZGMI-2001
352,846,ER083,Pisang kidang. segar,75.4,96,1.0,0.2,22.5,0.6,0.9,87.0,173.0,0.6,6.0,418.8,0.22,0.5,,38.0,58.0,0.04,0.1,0.9,2.0,70.0,Tunggal,Buah,KZGPI-1990
353,847,ER084,Pisang lampung. segar,72.1,99,1.3,0.2,25.6,4.3,0.8,10.0,19.0,0.9,28.0,475.0,0.25,0.5,,43.0,618.0,0.07,0.12,1.0,4.0,75.0,Tunggal,Buah,DABM-1964
354,848,ER085,Pisang mas bali ampenan. segar,76.8,92,1.4,0.2,21.0,3.7,0.5,7.0,29.0,1.2,32.0,272.0,0.18,0.4,,14.0,,0.09,0.03,0.6,11.0,75.0,Tunggal,Buah,KZGMI-2001
355,849,ER086,Pisang mas bali kopang. segar,64.2,127,1.4,0.2,31.8,3.7,2.4,10.0,,0.1,43.0,616.0,0.12,0.4,,21.0,,0.21,0.05,0.9,17.0,75.0,Tunggal,Buah,KZGMI-2001
356,850,ER087,Pisang mas. segar,64.2,127,1.4,0.2,33.6,1.4,0.6,7.0,25.0,0.8,42.0,392.0,195.78,0.5,,17.0,79.0,0.09,0.08,4.5,2.0,85.0,Tunggal,Buah,DABM-1964
357,851,ER088,Pisang raja sereh. segar,69.3,108,1.3,0.3,28.2,0.7,1.0,16.0,38.0,0.1,31.0,522.6,0.27,0.6,,48.0,480.0,0.02,0.08,1.1,2.0,86.0,Tunggal,Buah,KZGPI-1990
358,852,ER089,Pisang raja. segar,65.8,120,1.2,0.2,31.8,5.3,1.0,10.0,22.0,0.8,35.0,582.2,0.31,0.7,,53.0,950.0,0.06,0.14,1.2,10.0,70.0,Tunggal,Buah,DABM-1964
359,853,ER090,Pisang rotan. segar,76.1,98,1.3,1.2,20.5,1.0,0.9,17.0,51.0,1.1,24.0,406.9,0.21,0.5,,37.0,697.0,0.01,0.1,0.9,2.0,56.0,Tunggal,Buah,KZGPI-1990
360,854,ER091,Pisang talas. segar,71.0,113,1.2,0.2,26.7,4.4,0.9,22.0,22.0,0.6,29.0,48.0,0.26,0.1,,159.0,,0.12,0.03,1.0,9.0,75.0,Tunggal,Buah,KZGMI-2001
361,856,ER093,Pisang ua. segar,67.8,128,0.8,0.5,30.2,8.1,0.7,12.0,28.0,0.7,33.0,382.0,0.2,0.3,,5.0,,0.09,0.01,1.2,4.0,75.0,Tunggal,Buah,KZGMI-2001
362,857,ER094,Pisang uli. segar,61.8,134,1.1,0.5,35.5,1.4,1.1,31.0,53.0,0.9,39.0,650.3,0.34,0.7,,59.0,113.0,0.11,0.16,1.4,3.0,77.0,Tunggal,Buah,KZGPI-1990
363,861,AP098,Pundut nasi,77.8,104,1.9,4.1,15.1,0.4,1.1,26.0,100.0,1.5,74.0,174.0,,,,,,,,,,100.0,Olahan,Serealia,KZGMI-2001
364,862,DP045,Purundawa,91.8,25,1.5,0.5,3.6,1.7,2.6,147.0,39.0,,239.0,201.0,0.1,0.6,,55.0,,0.1,0.1,11.6,2.0,100.0,Olahan,Sayur,KZGMI-2001
365,863,ER095,Purut. segar,81.1,76,4.1,1.1,15.2,1.7,1.4,30.0,76.0,0.6,10.0,285.2,,,,27.0,93.0,0.01,0.11,,,34.0,Tunggal,Buah,KZGPI-1990
366,865,DR137,Putri malu. segar,80.2,76,3.6,0.3,14.6,7.1,1.3,119.0,84.0,3.3,1.0,631.0,0.6,1.4,,4.762,,0.6,0.6,,6.0,,Tunggal,Sayur,KZGMI-2001
367,869,ER096,Rambutan binjai. segar,81.0,76,0.5,0.2,18.0,3.8,0.3,15.0,22.0,1.2,22.0,120.0,0.2,0.2,,,,0.19,0.01,0.4,13.0,40.0,Tunggal,Buah,KZGMI-2001
368,870,ER097,Rambutan. segar,80.5,69,0.9,0.1,18.1,0.8,0.4,16.0,16.0,0.5,16.0,104.2,0.17,0.1,,,,,0.07,0.5,58.0,40.0,Tunggal,Buah,DABM-1964
369,871,BP055,Rasbi (Beras Ubi),11.1,394,2.2,8.8,76.6,6.8,1.3,68.0,76.0,1.6,165.0,388.0,0.4,0.4,,,,0.02,0.3,1.2,0.2,100.0,Olahan,Umbi,BKP
370,872,BP056,Rasi (Beras Singkong),12.6,350,0.9,0.4,85.7,14.4,0.5,42.0,21.0,1.5,8.0,14.0,0.3,0.5,,,,0.02,0.02,0.4,0.2,100.0,Olahan,Umbi,BKP
371,877,DR138,Rebung. segar,93.3,25,0.8,0.1,5.3,9.7,0.5,3.0,5.0,0.5,3.0,206.0,0.1,0.4,,10.0,,0.2,0.07,0.5,,28.0,Tunggal,Sayur,KZGMI-2001
372,882,AP102,Renggi goreng,8.8,471,4.7,21.8,64.1,6.4,0.6,4.0,80.0,1.1,126.0,29.0,0.9,1.3,,,,0.53,0.05,8.2,,100.0,Olahan,Serealia,KZGMI-2001
373,884,DR139,Rimbang. segar,80.8,75,1.6,0.6,15.8,10.0,1.2,55.0,97.0,0.6,20.0,234.0,0.4,0.4,,51.0,,0.4,0.1,1.3,38.0,95.0,Tunggal,Sayur,KZGMI-2001
374,886,AP024,Roti putih,40.0,248,8.0,1.2,50.0,9.1,0.8,10.0,95.0,1.5,530.0,91.0,0.15,0.9,,,,0.1,0.29,2.4,,100.0,Olahan,Serealia,DABM-1964
375,890,DR140,Rumput laut,87.0,41,1.4,0.3,8.1,2.2,3.2,80.0,20.0,1.6,250.0,380.0,0.2,0.4,,1.958,,0.2,,0.1,7.0,100.0,Tunggal,Sayur,KZGMI-2001
376,897,CR051,Saga merah terkupas. mentah,8.1,449,30.6,25.5,31.9,3.5,3.9,1.062,161.0,14.2,66.0,,0.07,5.7,,9.0,107.0,0.09,1.5,10.9,7.0,100.0,Tunggal,Kacang,KZGPI-1990
377,898,BR018,Sagu aren. kering,11.9,355,0.6,1.1,85.6,0.3,0.8,91.0,167.0,2.2,2.0,200.0,,0.3,,,,0.04,0.1,0.5,,100.0,Tunggal,Umbi,KZGPI-1990
378,899,BR019,Sagu aren. segar,42.5,231,0.6,0.2,56.6,3.2,0.1,20.0,20.0,0.1,7.0,,0.1,0.1,,,,0.2,,,,100.0,Tunggal,Umbi,KZGMI-2001
379,901,BR020,Sagu kasbi segar,42.5,230,0.6,0.2,56.5,3.0,0.2,20.0,1.0,0.3,100.0,410.0,0.1,0.2,,,,0.1,,,,100.0,Tunggal,Umbi,KZGMI-2001
380,902,BP058,Sagu Lemak (Kue Sagon),4.3,452,2.8,14.8,76.8,1.1,0.7,15.0,39.0,1.1,182.0,52.7,0.04,0.8,,1.22,,0.32,0.04,0.1,0.2,100.0,Olahan,Umbi,BKP
381,903,BR021,Sagu lempeng,13.5,347,0.9,0.3,85.2,4.7,0.1,30.0,30.0,0.2,11.0,,0.1,0.1,,,,0.3,,,,100.0,Tunggal,Umbi,KZGMI-2001
382,905,BP060,Sagu Rendang,8.2,364,0.1,0.2,90.5,1.9,1.0,13.0,9.0,3.9,42.0,15.1,0.1,0.1,,,,0.02,0.6,0.8,0.2,100.0,Olahan,Umbi,BKP
383,909,ER099,Salak medan. segar,78.1,55,0.4,0.2,12.8,3.2,8.5,6.0,46.0,0.5,39.0,113.0,0.2,0.3,,4.0,,0.04,0.03,,58.0,93.0,Tunggal,Buah,KZGMI-2001
384,916,KP003,Santan (dengan air),80.0,122,2.0,10.0,7.6,1.4,0.4,25.0,30.0,0.1,9.0,162.5,0.16,0.4,,,,0.02,,0.5,2.0,100.0,Olahan,Lemak,DABM-1964
385,918,NP009,Saos tomat,69.5,110,2.0,0.4,24.5,0.9,3.6,12.0,18.0,0.8,890.0,129.7,0.18,0.3,,357.0,570.0,0.09,0.06,1.7,11.0,100.0,Olahan,Bumbu,DABM-1964
386,932,FP017,Sapi. hati. sosis (liverworst),56.6,274,16.0,22.0,3.0,2.3,2.4,20.0,150.0,4.0,654.0,158.8,0.22,2.2,1.201,,,0.2,0.96,4.0,,100.0,Olahan,Daging,DABM-1964
387,940,CP059,Saridele. bubuk,3.0,344,30.0,20.0,43.0,6.2,4.0,450.0,500.0,4.0,56.0,,2.99,4.0,,,2.0,0.7,0.16,2.0,10.0,100.0,Olahan,Kacang,DABM-1964
388,942,GP090,Sate Bandeng,47.1,283,12.1,16.8,20.9,2.0,3.1,118.0,186.0,1.2,543.0,199.0,0.2,0.9,,2.0,,0.02,0.02,,0.3,82.0,Olahan,Ikan dsb,BKP
389,945,DR142,Sawi putih / pecai. segar,96.6,9,1.0,0.1,1.7,0.8,0.6,56.0,42.0,1.1,5.0,193.1,0.05,0.1,,862.0,832.0,0.05,0.18,0.4,3.0,79.0,Tunggal,Sayur,KZGPI-1990
390,946,DR143,Sawi taiwan. segar,91.8,30,1.9,0.5,4.4,2.7,1.4,100.0,58.0,1.6,27.0,217.0,0.1,0.7,,1.34,,0.2,0.1,0.6,33.0,85.0,Tunggal,Sayur,KZGMI-2001
391,947,DR144,Sawi tanah. segar,94.9,19,1.3,0.2,2.9,2.2,1.0,92.0,45.0,1.2,17.0,145.0,0.1,0.4,,815.0,,0.2,0.1,0.1,36.0,85.0,Tunggal,Sayur,KZGMI-2001
