,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),Î²-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
392,948,DR141,Sawi. segar,92.2,28,2.3,0.3,4.0,2.5,1.2,220.0,38.0,2.9,22.0,436.5,0.12,0.2,,2.042,6.46,0.09,0.23,0.7,102.0,87.0,Tunggal,Sayur,DABM-1964
393,949,ER102,Sawo duren. segar,87.3,64,1.0,3.1,8.0,0.8,0.6,18.0,45.0,0.8,13.0,111.4,0.02,0.1,,,,0.01,0.02,0.1,1.0,64.0,Tunggal,Buah,KZGPI-1990
394,950,ER103,Sawo kecik. segar,73.8,111,0.9,2.3,21.6,1.0,1.4,20.0,185.0,0.7,28.0,117.8,0.04,0.1,,119.0,12.0,,0.04,1.5,19.0,83.0,Tunggal,Buah,KZGPI-1990
395,951,ER104,Sawo Manila. segar,75.5,92,0.5,1.1,22.4,9.5,0.5,25.0,12.0,1.0,26.0,110.2,0.04,0.1,,111.0,60.0,0.01,0.04,1.4,21.0,79.0,Tunggal,Buah,DABM-1964
396,953,DP048,Sayur bunga pepaya,83.4,49,1.7,0.3,9.8,2.7,2.1,220.0,220.0,1.3,90.0,350.0,0.1,0.1,,372.0,,,0.1,,,100.0,Olahan,Sayur,KZGMI-2001
397,954,DP049,Sayur garu,70.8,178,2.6,13.9,10.6,8.4,2.1,30.0,130.0,0.9,20.0,120.0,0.1,0.3,,,,0.2,0.1,,9.0,100.0,Olahan,Sayur,KZGMI-2001
398,955,DP050,Sayur kohu-kohu,72.8,133,7.3,6.6,11.2,1.2,2.1,40.0,120.0,0.2,20.0,50.0,0.1,0.3,,944.0,,0.2,0.2,,9.0,100.0,Olahan,Sayur,KZGMI-2001
399,956,CP058,Sayur lebui,83.9,64,2.1,0.6,12.5,5.7,0.9,21.0,2.0,1.0,124.0,146.0,0.2,0.7,,14.0,,,,0.1,,100.0,Olahan,Kacang,KZGMI-2001
400,957,DP051,Sayur lilin-terubuk,90.4,36,2.7,0.7,4.8,1.4,1.4,10.0,90.0,0.1,30.0,44.0,0.2,1.0,,,,0.3,0.2,,18.0,100.0,Olahan,Sayur,KZGMI-2001
401,960,DP054,Sayur umbut kelapa,85.5,67,5.2,2.9,5.1,1.4,1.3,48.0,81.0,3.2,313.0,108.0,0.2,1.1,,21.0,,0.2,,,5.0,100.0,Olahan,Sayur,KZGMI-2001
402,961,DP055,Sayur umbut rotan,87.6,57,5.4,2.6,3.1,1.6,1.3,184.0,135.0,1.2,256.0,81.0,0.2,0.9,,18.0,,0.2,,,6.0,100.0,Olahan,Sayur,KZGMI-2001
403,962,DR146,Selada air. segar,93.3,17,3.1,0.2,2.2,0.7,1.2,95.0,152.0,2.4,65.0,260.7,0.11,0.2,,1.23,3.727,0.09,0.14,0.7,56.0,70.0,Tunggal,Sayur,KZGPI-1990
404,963,DP016,Selada. rebus,93.5,19,2.7,0.2,2.9,0.7,0.7,83.0,74.0,1.4,24.0,160.7,0.05,0.3,,2.499,3.7,0.08,0.2,0.6,27.0,100.0,Olahan,Sayur,KZGPI-1990
405,964,DR145,Selada. segar,94.8,18,1.2,0.2,2.9,1.8,0.9,22.0,25.0,0.5,19.0,186.4,0.03,0.2,,1.526,540.0,0.04,0.13,0.4,8.0,69.0,Tunggal,Sayur,DABM-1964
406,965,DR147,Seledri. segar,93.0,23,1.0,0.1,4.6,2.0,1.3,50.0,40.0,1.0,64.0,258.8,0.08,0.4,,63.0,130.0,0.03,0.07,0.4,11.0,63.0,Tunggal,Sayur,DABM-1964
407,966,ER105,Semangka. segar,92.1,28,0.5,0.2,6.9,0.4,0.3,7.0,12.0,0.2,7.0,93.8,0.04,0.1,,315.0,590.0,0.05,0.05,0.3,6.0,46.0,Tunggal,Buah,DABM-1964
408,968,BR023,Sente. talas. segar,14.0,353,0.7,0.2,84.7,6.6,0.4,11.0,13.0,1.5,30.0,694.6,0.6,2.2,,41.0,,0.05,0.2,2.8,5.0,86.0,Tunggal,Umbi,DABM-1964
409,971,DP056,Shabu-shabu,87.1,88,3.2,8.0,0.8,0.9,0.9,217.0,48.0,2.9,514.0,,,,82.0,,2.0,0.2,,,,100.0,Olahan,Sayur,KZGMS-1993
410,973,ER106,Sirsak. segar,81.7,65,1.0,0.3,16.3,3.2,0.7,14.0,27.0,0.6,2.0,298.9,0.08,1.0,,8.0,10.0,0.07,0.08,0.7,20.0,68.0,Tunggal,Buah,DABM-1964
411,993,ER107,Sowa. segar,87.7,48,1.6,0.6,9.1,45.0,10.0,50.0,40.0,0.3,9.0,,0.1,1.5,,364.0,,0.15,0.23,0.2,4.0,,Tunggal,Buah,KZGMI-2001
412,997,FP085,Sukiyaki. masakan,81.0,75,5.6,0.4,12.2,0.2,0.8,109.0,59.0,0.5,426.0,,,,41.0,,1.2,0.37,,,,100.0,Olahan,Daging,KZGMS-1993
413,998,ER109,Sukun muda. segar,69.4,119,1.4,0.2,28.1,1.4,1.0,24.0,44.0,1.4,24.0,414.4,0.09,0.1,,28.0,4.896,0.17,0.17,3.7,52.0,84.0,Tunggal,Buah,KZGPI-1990
414,999,ER110,Sukun tua. segar,67.8,126,1.6,0.2,24.5,1.5,1.0,37.0,47.0,1.6,25.0,436.0,0.09,0.1,,30.0,2.0,0.18,0.17,3.9,58.0,88.0,Tunggal,Buah,KZGPI-1990
415,1005,CP060,Susu kedelai,87.0,41,3.5,2.5,5.0,0.2,2.0,50.0,45.0,0.7,128.0,287.9,0.12,1.0,,,200.0,0.08,0.05,0.7,2.0,100.0,Olahan,Kacang,DABM-1964
416,1013,BP009,Suweg. talas. kukus,75.5,93,1.5,0.1,21.9,0.9,1.0,50.0,58.0,0.8,6.0,350.3,0.1,0.1,,,283.0,0.09,,0.3,,100.0,Olahan,Umbi,KZGPI-1990
417,1014,BR024,Suweg. talas. segar,80.1,74,1.4,0.1,17.2,1.4,1.2,42.0,46.0,1.3,7.0,400.0,0.1,0.1,,24.0,254.0,0.04,,0.4,2.0,86.0,Tunggal,Umbi,KZGPI-1990
418,1016,CP062,Tahu goreng,77.3,115,9.7,8.5,2.5,0.1,2.0,229.0,200.0,4.1,7.0,68.2,0.09,1.3,,,,0.01,0.24,,,100.0,Olahan,Kacang,KZGPI-1990
419,1017,CP063,Tahu telur,41.8,328,12.6,19.9,24.6,0.4,1.1,492.0,238.0,4.9,755.0,,,,73.0,,1.86,0.42,,,,100.0,Olahan,Kacang,KZGMS-1993
420,1018,CP061,Tahu. mentah,82.2,80,10.9,4.7,0.8,0.1,1.4,223.0,183.0,3.4,2.0,50.6,0.19,0.8,,118.0,,0.01,0.08,0.1,,100.0,Olahan,Kacang,KZGPI-1990
421,1020,BP010,Talas bogor. kukus,69.2,120,1.5,0.3,28.2,0.7,0.8,31.0,63.0,0.7,11.0,498.0,0.2,0.6,,,,0.05,0.6,0.8,2.0,100.0,Olahan,Umbi,KZGPI-1990
422,1021,BR025,Talas bogor. segar,72.4,108,1.4,0.4,25.0,0.9,0.8,47.0,67.0,0.7,10.0,448.0,0.2,0.7,,,,0.06,0.07,1.0,4.0,85.0,Tunggal,Umbi,KZGPI-1990
423,1022,BR026,Talas pontianak. segar,60.0,163,2.3,0.5,36.4,0.7,0.9,45.0,80.0,1.7,14.0,323.1,0.3,1.0,,,,0.02,0.1,1.3,,83.0,Tunggal,Umbi,KZGPI-1990
424,1023,BR027,Talas viqueque. segar,70.6,115,1.8,0.5,25.9,8.6,1.2,50.0,220.0,0.9,1.0,70.0,0.3,1.0,,,,0.08,0.1,0.9,,85.0,Tunggal,Umbi,KZGMI-2001
425,1024,DR149,Taoge kacang kedelai. segar,81.0,76,9.0,2.6,6.4,0.7,1.0,50.0,65.0,1.0,5.0,212.4,0.26,0.7,,,110.0,0.23,0.19,1.2,15.0,100.0,Tunggal,Sayur,DABM-1964
426,1025,DR150,Taoge kacang tunggak. segar,88.0,40,5.0,0.2,5.8,2.6,1.0,57.0,88.0,1.0,2.0,226.8,0.07,0.5,,299.0,,0.07,0.08,0.8,15.0,90.0,Tunggal,Sayur,DABM-1964
427,1027,DP018,Taoge. seduh,91.9,28,3.0,0.8,4.0,1.0,0.3,52.0,73.0,0.5,18.0,58.3,0.19,0.4,,46.0,18.0,0.1,,0.9,2.0,87.0,Olahan,Sayur,KZGPI-1990
428,1028,DR148,Taoge. segar,90.4,34,3.7,1.2,4.3,1.1,0.4,166.0,74.0,0.8,19.0,93.3,0.16,0.4,,41.0,20.0,0.09,,1.1,5.0,100.0,Tunggal,Sayur,KZGPI-1990
429,1030,AP016,Tapai ketan hitam,50.2,166,3.8,1.0,34.4,0.3,0.6,8.0,106.0,1.6,5.0,12.0,,,,,,0.02,,,,100.0,Olahan,Serealia,KZGPI-1990
430,1031,AP018,Tapai ketan putih,58.9,172,3.0,0.5,37.5,0.6,0.1,6.0,35.0,0.5,1.0,,,,,,,0.04,,0.2,,100.0,Olahan,Serealia,KZGPI-1990
431,1033,CP065,Tauco,54.0,184,11.4,5.5,22.2,1.9,6.9,72.0,463.0,6.0,1.766,233.0,0.39,1.0,,,664.0,0.32,0.2,0.8,,100.0,Olahan,Kacang,KZGPI-1990
432,1036,CP068,Tauco cap meong,59.7,159,7.4,4.9,21.3,1.6,6.7,183.0,84.0,10.1,1.547,204.1,0.34,0.9,,,472.0,0.46,0.18,0.7,,100.0,Olahan,Kacang,KZGPI-1990
433,1038,DR151,Tebu terubuk (lilin). segar,91.0,30,4.6,0.4,3.0,0.8,1.0,40.0,80.0,2.0,699.0,,0.2,1.1,,12.0,,0.08,0.2,1.2,50.0,20.0,Tunggal,Sayur,DABM-1964
434,1040,MP016,Teh hijau daun kering,7.7,300,28.3,4.8,53.6,9.6,5.6,245.0,415.0,18.9,60.0,,0.5,,,8.4,,0.38,1.24,4.6,230.0,100.0,Olahan,Gula,FCTEA-1972
435,1041,MP017,Teh hitam daun kering,8.0,293,24.5,2.8,58.8,8.7,5.9,327.0,313.0,24.3,50.0,,,,,2.7,,0.07,0.8,7.6,9.0,100.0,Olahan,Gula,FCTEA-1972
436,1042,MP018,Teh melati daun kering,8.1,299,24.1,3.5,59.0,9.7,5.3,320.0,185.0,31.6,70.0,,0.53,,,8.4,,0.07,0.79,7.3,85.0,100.0,Olahan,Gula,FCTEA-1972
437,1043,DR153,Tekokak. kering,12.3,302,8.3,1.7,72.6,21.2,8.1,370.0,180.0,22.2,9.0,,,1.0,,187.0,750.0,0.4,0.17,5.1,,100.0,Tunggal,Sayur,DABM-1964
438,1044,DR152,Tekokak. segar,89.0,34,2.0,0.1,7.9,4.9,1.0,50.0,30.0,2.0,3.0,333.3,0.12,0.2,,23.0,750.0,0.08,0.05,0.9,8.0,95.0,Tunggal,Sayur,DABM-1964
439,1066,CP076,Tempe kedelai murni. goreng,36.8,350,24.5,26.6,10.4,4.2,1.8,202.0,296.0,4.9,22.0,626.7,0.8,2.5,,,78.0,0.24,0.6,3.3,,100.0,Olahan,Kacang,KZGPI-1990
440,1067,CP077,Tempe kedelai murni. mentah,55.3,201,20.8,8.8,13.5,1.4,1.6,155.0,326.0,4.0,9.0,234.0,0.57,1.7,,,,0.19,0.59,4.9,,100.0,Olahan,Kacang,KZGPI-1990
441,1072,CP082,Tempe pasar,68.3,150,14.0,7.7,9.1,1.4,0.9,517.0,202.0,1.5,7.0,165.9,0.4,1.2,,,,0.17,0.44,3.6,,100.0,Olahan,Kacang,KZGPI-1990
442,1073,CP083,Tempe pasar goreng,42.9,336,20.0,28.0,7.8,3.4,1.3,156.0,350.0,3.0,20.0,566.2,0.8,2.2,,,10.0,0.1,0.5,3.0,,100.0,Olahan,Kacang,KZGPI-1990
443,1074,NP010,Tempoya,70.1,110,1.7,1.3,21.9,2.6,5.0,190.0,45.0,2.9,597.0,486.3,,,,71.0,,0.3,0.04,1.1,,100.0,Olahan,Bumbu,KZGMI-2001
444,1075,BP064,Tepung Arrowroot,13.6,355,0.7,0.2,85.2,0.4,0.3,8.0,22.0,1.5,2.0,10.7,,0.1,,20.0,3.0,0.09,,,,100.0,Olahan,Umbi,DABM-1964
445,1076,AP004,Tepung beras. mentah,12.0,353,7.0,0.5,80.0,2.4,0.5,5.0,140.0,0.8,5.0,241.0,0.1,0.8,,,,0.12,0.1,1.2,,100.0,Olahan,Serealia,DABM-1964
446,1077,BP065,Tepung Ganyong,13.6,353,0.8,1.7,83.6,0.7,0.3,4.0,31.0,3.3,3.0,63.5,0.1,0.3,,,,0.02,,0.9,1.0,100.0,Olahan,Umbi,BKP
447,1078,BP066,Tepung Gaplek,13.0,345,2.4,0.4,83.1,6.7,1.1,18.0,95.0,1.5,6.0,55.0,0.4,1.2,,1.0,,0.3,0.2,0.1,0.2,100.0,Olahan,Umbi,BKP
448,1079,CP084,Tepung hunkwe (pati kacang ijo),10.0,364,4.5,1.0,83.5,16.1,1.0,50.0,100.0,1.0,15.0,,0.93,2.7,,,,,0.23,2.2,,100.0,Olahan,Kacang,DABM-1964
449,1080,AP013,Tepung jagung putih,12.0,355,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,,,0.38,0.02,0.3,,100.0,Olahan,Serealia,DABM-1964
450,1081,CP085,Tepung Jalejo,10.0,388,19.0,7.5,61.2,5.8,2.3,101.0,663.0,2.0,3.0,712.0,0.6,1.9,,1.0,0.1,0.02,0.7,1.6,9.0,100.0,Olahan,Kacang,BKP
451,1082,CP086,Tepung kacang kedelai,9.0,347,35.9,20.6,29.9,5.8,4.0,195.0,544.0,8.4,52.0,,,2.6,,,140.0,0.77,0.32,2.1,,100.0,Olahan,Kacang,DABM-1964
452,1083,BP067,Tepung kentang. kering,13.0,347,0.3,0.1,85.6,0.4,1.0,20.0,30.0,0.5,51.0,156.3,0.2,0.5,,,,0.04,,0.4,,100.0,Olahan,Umbi,DABM-1964
453,1084,BP068,Tepung Mocaf,11.9,350,1.2,0.6,85.0,6.0,1.3,60.0,64.0,15.8,8.0,403.0,0.1,0.6,,,,0.02,0.02,0.7,2.0,100.0,Olahan,Umbi,BKP
454,1085,EP014,Tepung Pisang,13.8,338,2.9,0.4,80.6,5.3,2.1,23.0,62.0,4.0,18.0,734.0,0.1,0.5,,13.0,1.0,0.02,0.02,1.0,2.0,100.0,Olahan,Buah,BKP
455,1086,BP069,Tepung Sente,15.3,326,4.0,0.4,76.7,8.5,3.6,41.0,141.0,3.5,14.0,,0.4,1.4,,,,0.02,0.2,7.7,0.2,100.0,Olahan,Umbi,BKP
456,1087,BP070,Tepung singkong/ Tapioka,9.1,363,1.1,0.5,88.2,0.9,1.1,84.0,125.0,1.0,1.0,7.1,,0.1,,,,0.04,,0.4,,100.0,Olahan,Umbi,DABM-1964
457,1088,EP015,Tepung Sukun,10.1,353,2.9,0.5,84.4,3.7,2.1,100.0,85.0,4.6,9.0,,0.1,0.6,,,,0.4,0.02,0.1,3.0,100.0,Olahan,Buah,BKP
458,1089,BP071,Tepung Tales Beneng,12.2,332,5.7,0.6,76.1,12.2,5.5,59.0,302.0,10.7,7.0,,0.8,6.2,,0.2,,0.02,0.1,0.3,0.2,100.0,Olahan,Umbi,BKP
459,1090,AP025,Tepung terigu,11.8,333,9.0,1.0,77.2,0.3,1.0,22.0,150.0,6.3,2.0,,0.02,2.8,,,,0.35,0.47,1.0,,100.0,Olahan,Serealia,KZGPI-1990
460,1091,BP072,Tepung Ubi Ungu,9.4,354,2.8,0.6,84.4,12.9,2.8,89.0,125.0,3.9,42.0,940.0,0.8,0.6,,,,0.4,0.02,,0.2,100.0,Olahan,Umbi,BKP
461,1092,NP011,Terasi,33.8,155,22.3,2.9,9.9,2.7,31.1,3.812,726.0,78.5,1.664,821.4,0.99,2.4,,,,0.24,,3.3,,100.0,Olahan,Bumbu,KZGPI-1990
462,1093,NP012,Terasi dobo,58.4,191,33.1,3.6,6.6,1.6,11.5,2.25,1.13,22.9,650.0,,2.9,5.0,,,,3.74,0.22,2.1,,100.0,Olahan,Bumbu,KZGMI-2001
463,1094,NP013,Terasi merah,40.0,174,30.0,3.5,5.6,2.2,20.4,100.0,150.0,3.1,7.85,302.8,0.49,1.2,,,,,0.12,1.7,,100.0,Olahan,Bumbu,DABM-1964
464,1097,DR155,Terong asam. segar,90.5,37,2.0,0.4,6.3,3.2,0.8,13.0,59.0,1.5,3.0,155.0,0.3,0.3,,97.0,,0.2,0.1,0.8,4.0,,Tunggal,Sayur,KZGMI-2001
465,1098,DR158,Terong hintalo. segar,89.2,45,1.9,0.8,7.5,5.1,0.6,19.0,268.0,1.0,167.0,142.0,0.6,0.2,,552.0,,0.2,0.4,,4.0,,Tunggal,Sayur,KZGMI-2001
466,1099,DR154,Terong. segar,92.7,28,1.1,0.2,5.5,2.1,0.5,15.0,37.0,0.4,9.0,187.0,0.1,0.1,,46.0,30.0,0.04,0.03,0.5,5.0,100.0,Tunggal,Sayur,DABM-1964
467,1101,DR157,Terung bengkulu. segar,86.6,52,1.1,0.4,11.2,3.2,0.8,19.0,39.0,1.1,14.0,,0.16,1.0,,85.0,600.0,0.23,0.04,0.0,6.0,100.0,Tunggal,Sayur,KZGPI-1990
468,1102,DR159,Terung panjang,91.8,25,2.1,0.1,5.3,0.5,0.7,38.0,24.0,0.7,9.0,53.7,0.09,0.2,,83.0,24.0,0.15,0.06,0.7,8.0,100.0,Tunggal,Sayur,KZGPI-1990
469,1103,DP019,Terung panjang. kukus,92.7,23,1.8,0.1,4.9,0.4,0.5,40.0,13.0,0.5,9.0,57.0,67.1,0.2,,99.0,20.0,,0.07,0.7,1.0,100.0,Olahan,Sayur,KZGPI-1990
470,1105,DP058,Tinira ninahu nggaluku,91.8,33,1.2,1.3,4.1,3.1,1.5,35.0,35.0,,161.0,119.0,0.2,0.7,,6.0,,0.3,,3.5,10.0,100.0,Olahan,Sayur,KZGMI-2001
471,1108,BP073,Tiwul,11.2,353,2.4,1.1,83.4,6.5,1.6,55.0,95.0,4.7,5.0,670.0,0.2,0.8,,,,0.02,0.02,0.1,3.0,100.0,Olahan,Umbi,BKP
472,1109,BP074,Tiwul Instan,9.1,395,3.2,8.5,76.5,4.2,2.7,81.0,81.0,5.8,377.0,469.0,2.1,1.2,,,,0.4,0.2,0.2,4.0,100.0,Olahan,Umbi,BKP
473,1111,DR162,Tomat muda. segar,93.0,24,2.0,0.7,3.3,1.8,2.0,5.0,27.0,0.5,10.0,210.0,0.07,0.2,,384.0,320.0,0.07,0.04,0.7,30.0,95.0,Tunggal,Sayur,DABM-1964
474,1112,DR160,Tomat. air (sari). segar,94.0,20,1.0,0.2,3.5,0.4,1.3,7.0,15.0,0.4,10.0,225.2,0.06,0.1,,266.0,600.0,0.05,0.03,0.7,10.0,100.0,Tunggal,Sayur,DABM-1964
475,1116,BP075,Ubi Cilembu,52.7,186,1.9,0.2,44.3,3.4,0.9,37.0,51.0,0.6,62.0,61.9,0.1,0.2,,26.0,,0.02,0.2,,0.3,90.0,Olahan,Umbi,BKP
476,1117,BR029,Ubi jalar manis. segar,78.4,83,1.5,0.2,18.8,0.6,1.1,27.0,162.0,2.1,52.0,320.7,0.1,0.3,,,,0.02,,0.4,,85.0,Tunggal,Umbi,KZGPI-1990
477,1118,BR030,Ubi jalar merah. segar,61.9,151,1.6,0.3,35.4,0.7,0.6,29.0,74.0,0.7,92.0,565.6,0.3,0.5,,,1.208,0.13,0.08,0.7,11.0,86.0,Tunggal,Umbi,KZGPI-1990
478,1119,BR031,Ubi jalar putih. segar,77.8,88,0.4,0.4,20.6,4.0,0.8,30.0,10.0,0.5,2.0,4.0,0.1,0.2,,13.0,264.0,0.25,0.06,0.5,36.0,86.0,Tunggal,Umbi,KZGMI-2001
479,1120,BR032,Ubi jalar tinta/ kemayung,72.5,108,0.5,0.4,25.6,4.2,1.0,30.0,40.0,0.5,1.0,1.0,0.1,0.2,,13.0,,0.09,0.06,0.6,24.0,85.0,Tunggal,Umbi,KZGMI-2001
480,1121,BP012,Ubi jalar tinta/ kemayung kukus,58.5,165,0.9,0.2,39.8,1.1,0.6,20.0,23.0,0.8,1.0,0.9,0.1,0.2,,,,0.02,0.1,0.5,,100.0,Olahan,Umbi,KZGPI-1990
481,1122,BP011,Ubi jalar. kuning. kukus,74.2,100,0.7,0.3,23.8,1.0,1.0,44.0,46.0,0.4,3.0,0.8,0.1,0.2,,819.0,4.427,,0.1,0.6,16.0,100.0,Olahan,Umbi,KZGPI-1990
482,1123,BR028,Ubi jalar. kuning. segar,72.6,119,0.5,0.4,25.1,4.2,1.0,30.0,40.0,0.4,3.0,1.0,0.1,0.2,,794.0,4.948,0.06,0.07,0.7,,85.0,Tunggal,Umbi,KZGMI-2001
483,1130,FR034,Ulat sagu segar,65.9,241,5.8,21.6,5.8,2.8,0.9,20.0,70.0,0.5,210.0,210.0,1.0,7.7,,,,0.17,1.45,0.1,,100.0,Tunggal,Daging,KZGMI-2001
484,1131,FP020,Ulat sagu. panggang,41.3,380,11.9,30.3,14.9,4.8,1.6,30.0,120.0,1.5,260.0,550.0,3.1,14.2,,,,0.5,2.5,0.1,,100.0,Olahan,Daging,KZGMI-2001
485,1133,BR033,Umbi Uwi. segar,69.7,120,2.8,0.5,82.3,2.6,0.9,9.0,42.0,1.3,412.0,412.0,0.3,0.6,,,,0.02,0.5,0.2,4.0,86.0,Tunggal,Umbi,BKP
486,1134,DR164,Umbut kelapa. segar,89.3,39,2.0,0.2,7.2,2.5,1.3,57.0,49.0,,4.0,447.0,0.2,1.4,,16.0,,0.1,0.1,,8.0,,Tunggal,Sayur,KZGMI-2001
487,1135,DR165,Umbut rotan,90.5,34,2.4,0.3,5.5,2.2,1.3,89.0,79.0,1.3,8.0,552.0,0.2,1.9,,14.0,,0.2,,,9.0,,Tunggal,Sayur,KZGMI-2001
488,1138,DP060,Waluh balamak,89.4,45,0.8,0.9,8.1,7.9,1.0,25.0,25.0,0.5,61.0,15.0,,0.2,,1.241,,0.2,,0.1,2.0,100.0,Olahan,Sayur,KZGMI-2001
489,1141,CR052,Wijen. mentah,5.8,568,19.3,51.1,18.1,3.6,5.8,1.125,614.0,9.5,18.0,303.7,4.16,7.9,,15.0,,0.93,0.2,5.7,,100.0,Tunggal,Kacang,DABM-1964
490,1143,DP061,Woku ubi,73.0,143,3.1,7.8,15.0,7.0,1.1,195.0,91.0,2.8,353.0,256.0,0.3,1.0,,1.519,,0.1,,,15.0,100.0,Olahan,Sayur,KZGMI-2001
491,1144,DP021,Wortel. kukus,89.5,37,1.0,0.6,8.3,1.1,0.6,44.0,30.0,0.6,43.0,122.5,0.11,0.3,,3.994,7.15,0.02,0.03,0.8,14.0,100.0,Olahan,Sayur,KZGPI-1990
492,1145,DP020,Wortel. rebus,92.1,28,0.7,0.5,6.3,0.8,0.4,46.0,28.0,0.6,41.0,117.3,0.1,0.2,,3.824,5.396,0.01,0.03,0.7,12.0,100.0,Olahan,Sayur,KZGPI-1990
493,1146,DR166,Wortel. segar,89.9,36,1.0,0.6,7.9,1.0,0.6,45.0,74.0,1.0,70.0,245.0,0.06,0.3,,3.784,7.125,0.04,0.04,1.0,18.0,80.0,Tunggal,Sayur,KZGPI-1990
